Sample,5FU,ABRAXANE,BGJ398,BINIMETINIB,BINIMETINIB-3.5MPK,BKM120,BYL719,CETUXIMAB,CGM097,DACARBAZINE,ENCORAFENIB,ERLOTINIB,GEMCITABINE-50MPK,HDM201,HSP990,INC280,INC424,LDE225,LDK378,LEE011,LGH447,PACLITAXEL,TAMOXIFEN,TRAMETINIB,TRASTUZUMAB,WNT974
X-2822,,,,,,,0.0,0.0,0.0,,0.0,,,0.0,,,,,,,,,,,,
X-2838,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,,,,0.0
X-2846,0.0,,,,,,0.0,0.0,0.0,,0.0,,,0.0,,,,,,,,,,,,
X-2861,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.0,,,,,,0.0,,,,,,
X-2921,,,,0.0,,0.0,,,0.0,,0.0,,,,,,,0.0,0.0,0.0,,,,,,0.0
X-2997,,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,,0.0,,,0.0,,,,0.0,,
X-3028,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0
X-3029,,,,1.0,,1.0,,1.0,1.0,,,1.0,,,1.0,,,,,,,,,,,
X-3038,,0.0,,,0.0,,,,,,,,,,,,0.0,,,,,,,0.0,,0.0
X-3052,,0.0,,,0.0,,,,,,,,0.0,0.0,,,0.0,,,0.0,,,,0.0,,0.0
X-3077,,,0.0,0.0,,1.0,1.0,,0.0,,,,,0.0,,,0.0,,,,,,,,0.0,
X-3078,,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,,,0.0,,,0.0,,,0.0,,0.0,
X-3093,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,,,0.0,,,,,,0.0,,,,,,
X-3127,,,,,,0.0,,,,1.0,,,,,,,,0.0,0.0,,,,,,,
X-3201,,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,,,0.0,,,0.0,,,0.0,,0.0,
X-3205,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,,,0.0,,,,,,,,,,,,
